Asertivo,Gryffindor,
Atrevido,Gryffindor,
Aventura,Gryffindor,Slytherin
Aventurero,Gryffindor,Slytherin
Bueno,Gryffindor,
Caballeroso,Gryffindor,
Confiado,Gryffindor,
Confianza,Gryffindor,
Coraje,Gryffindor,
Desafío,Gryffindor,
Digno,Gryffindor,Hufflepuff
Dignidad,Gryffindor,Hufflepuff
Emocional,Gryffindor,
Emociones,Gryffindor,Slytherin
Escarlata y Dorado,Gryffindor,
Escarlata y Oro,Gryffindor,
Extrovertido,Gryffindor,Slytherin
Fuego,Gryffindor,
Godric Gryffindor,Gryffindor,
Gryffindor,Gryffindor,
Honor,Gryffindor,
Honorable,Gryffindor,
Ideal,Gryffindor,
Idealista,Gryffindor,
Libertad,Gryffindor,
Libre,Gryffindor,
Logros,Gryffindor,Slytherin
Moral,Gryffindor,
Moralidad,Gryffindor,Slytherin
Patriota,Gryffindor,
Patriotismo,Gryffindor,
Púrpura y Dorado,Gryffindor,
Púrpura y Oro,Gryffindor,
Valiente,Gryffindor,
Valor,Gryffindor,
Lucha con dragones,Gryffindor,Gryffindor
Altruismo,Hufflepuff,Gryffindor
Altruista,Hufflepuff,
Amarillo y Negro,Hufflepuff,
Amistad,Hufflepuff,
Amistoso,Hufflepuff,
Amor,Hufflepuff,
Ansiedad,Hufflepuff,
Ansioso,Hufflepuff,
Armonía,Hufflepuff,
Buen amigo,Hufflepuff,
Castor,Hufflepuff,
Consciencia,Hufflepuff,
Consciente,Hufflepuff,
Cooperación,Hufflepuff,
Cooperativo,Hufflepuff,
Estabilidad,Hufflepuff,
Estable,Hufflepuff,
Helga Hufflepuff,Hufflepuff,
Justicia,Hufflepuff,
Justo,Hufflepuff,
Leal,Hufflepuff,
Lealtad,Hufflepuff,
Modestia,Hufflepuff,Gryffindor
Modesto,Hufflepuff,
Neurótico,Hufflepuff,
Obediente,Hufflepuff,Gryffindor
Obediencia,Hufflepuff,Gryffindor
Paciente,Hufflepuff,
Paciencia,Hufflepuff,
Práctico,Hufflepuff,
Precavido,Hufflepuff,
Precaución,Hufflepuff,
Simpatía,Hufflepuff,
Simpático,Hufflepuff,
Tejón,Hufflepuff,
Tierra,Hufflepuff,
Trabaja duro,Hufflepuff,Ravenclaw
Vulnerabilidad,Hufflepuff,Hufflepuff
Vulnerable,Hufflepuff,
Aguila,Ravenclaw,
Aire,Ravenclaw,
Arte,Ravenclaw,
Artista,Ravenclaw,
Azul y Bronce,Ravenclaw,
Brillante,Ravenclaw,
Cerebral,Ravenclaw,
Conocimiento,Ravenclaw,
Curiosidad,Ravenclaw,
Curioso,Ravenclaw,
Divertido,Ravenclaw,
Estructurado,Ravenclaw,
Genio,Ravenclaw,
Imaginación,Ravenclaw,
Imaginativo,Ravenclaw,
Ingenioso,Ravenclaw,
Intelectual,Ravenclaw,
Inteligente,Ravenclaw,Gryffindor
Listo,Ravenclaw,
Ocurrente,Ravenclaw,
Orden,Ravenclaw,Hufflepuff
Ordenado,Ravenclaw,Hufflepuff
Preocupado,Ravenclaw,Hufflepuff
Preocupación,Ravenclaw,Hufflepuff
Proximidad,Ravenclaw,
Próximo,Ravenclaw,
Rowena Ravenclaw,Ravenclaw,Gryffindor
Sabiduría,Ravenclaw,
Sabio,Ravenclaw,Gryffindor
Ratón de biblioteca,Ravenclaw,
Ambición,Slytherin,
Ambicioso,Slytherin,
Antipatía,Slytherin,
Antipático,Slytherin,
Asesino,Slytherin,
Asesinato,Slytherin,
Asqueroso,Slytherin,
Baboso ,Slytherin,
Demonio,Slytherin,
Depresión,Slytherin,
Depresivo,Slytherin,
Desagradable,Slytherin,
Disciplina,Slytherin,Gryffindor
Disciplinado,Slytherin,Gryffindor
Hedonista,Slytherin,Gryffindor
Ira,Slytherin,
Irascible,Slytherin,
Malo,Slytherin,
Malvado,Slytherin,
Mezquino,Slytherin,
Parsel,Slytherin,Gryffindor
Pelmazo,Slytherin,
Poder,Slytherin,
Poderoso,Slytherin,
Presumido,Slytherin,Gryffindor
Reptiles,Slytherin,Slytherin
Salazar Slytherin,Slytherin,Gryffindor
Serpiente,Slytherin,
Tacaño ,Slytherin,
Verde y Dorado,Slytherin,
Voldemort,Slytherin,Hufflepuff
Minerva McGonagall,Gryffindor,
Euan Abercrombie,Gryffindor,
Katie Bell,Gryffindor,
Lavender Brown,Gryffindor,
Ritchie Coote,Gryffindor,
Colin Creevey,Gryffindor,
Dennis Creevey,Gryffindor,
Seamus Finnigan,Gryffindor,
Hermione Granger,Gryffindor,
Angelina Johnson,Gryffindor,
Lee Jordan,Gryffindor,
Andrew Kirke,Gryffindor,
Neville Longbottom,Gryffindor,
Natalie McDonald,Gryffindor,
Mary Macdonald,Gryffindor,
Cormac McLaggen,Gryffindor,
Parvati Patil,Gryffindor,
Jimmy Peakes,Gryffindor,
Harry Potter,Gryffindor,
Demelza Robins,Gryffindor,
Jack Sloper,Gryffindor,
Alicia Spinnet,Gryffindor,
Dean Thomas,Gryffindor,
Romilda Vane,Gryffindor,
Fred Weasley,Gryffindor,
George Weasley,Gryffindor,
Ginny Weasley,Gryffindor,
Percy Weasley,Gryffindor,
Ron Weasley,Gryffindor,
Oliver Wood,Gryffindor,
Sirius Black,Gryffindor,
Albus Dumbledore,Gryffindor,
Rubeus Hagrid,Gryffindor,
Remus Lupin,Gryffindor,
Minerva McGonagall,Gryffindor,
Peter Pettigrew,Gryffindor,
James Potter,Gryffindor,
Lily Potter (Evans),Gryffindor,
Bill Weasley,Gryffindor,
Charlie Weasley,Gryffindor,
Arthur Weasley,Gryffindor,
Molly Weasley (Prewett),Gryffindor,
Nearly Headless Nick,Gryffindor,
Godric Gryffindor,Gryffindor,
Hannah Abbott,Hufflepuff,
Susan Bones,Hufflepuff,
Eleanor Branstone,Hufflepuff,
Cadwallader,Hufflepuff,
Owen Cauldwell,Hufflepuff,
Cedric Diggory,Hufflepuff,
Justin Finch-Fletchley,Hufflepuff,
Ernie Macmillan,Hufflepuff,
Laura Madley,Hufflepuff,
Eloise Midgeon,Hufflepuff,
Zacharias Smith,Hufflepuff,
Pomona Sprout,Hufflepuff,
Stebbins,Hufflepuff,
Summerby,Hufflepuff,
Summers,Hufflepuff,
Nymphadora Tonks,Hufflepuff,
Kevin Whitby,Hufflepuff,
Rose Zeller,Hufflepuff,
Fat Friar,Hufflepuff,
Helga Hufflepuff,Hufflepuff,
Stewart Ackerley,Ravenclaw,
Marcus Belby,Ravenclaw,
Terry Boot,Ravenclaw,
Mandy Brocklehurst,Ravenclaw,
Cho Chang,Ravenclaw,
Eddie Carmichael,Ravenclaw,
Penelope Clearwater,Ravenclaw,
Michael Corner,Ravenclaw,
Roger Davies,Ravenclaw,
Marietta Edgecombe,Ravenclaw,
Fawcett,Ravenclaw,
Filius Flitwick,Ravenclaw,
Anthony Goldstein,Ravenclaw,
Luna Lovegood,Ravenclaw,
Padma Patil,Ravenclaw,
Orla Quirke,Ravenclaw,
Lisa Turpin,Ravenclaw,
Grey Lady,Ravenclaw,
Rowena Ravenclaw,Ravenclaw,
Avery,Slytherin,
Malcolm Baddock,Slytherin,
Regulus Black,Slytherin,
Miles Bletchley,Slytherin,
Bole,Slytherin,
Millicent Bullstrode,Slytherin,
Vincent Crabbe,Slytherin,
Derrick,Slytherin,
Marcus Flint,Slytherin,
Gregory Goyle,Slytherin,
Harper,Slytherin,
Terence Higgs,Slytherin,
Bellatrix Lestrange,Slytherin,
Rabastan Lestrange,Slytherin,
Rodolphus Lestrange,Slytherin,
Abraxas Malfoy,Slytherin,
Draco Malfoy,Slytherin,
Lucius Malfoy,Slytherin,
Narcissa Malfoy,Slytherin,
Montague,Slytherin,
Theodore Nott,Slytherin,
Pansy Parkinson,Slytherin,
Graham Pritchard,Slytherin,
Adrian Pucey,Slytherin,
Tom Marvolo Riddle,Slytherin,
Horace Slughorn,Slytherin,
Severus Snape,Slytherin,
Vaisey,Slytherin,
Urquhart,Slytherin,
Warrington,Slytherin,
Blaise Zabini,Slytherin,
Bloody Baron,Slytherin,
Salazar Slytherin,Slytherin,
